code	description	detailed_description	obsolete
65	Wrong key provided	Meter reader has been provided with a key but the key no longer opens the lock.	false
68	Zero consumption	Where a Site has known zero consumption and the Site is not deenergised in MSATS but no energy is flowing to the meter.	false
69	Reading exceeds Substitute	Re-Substituted data that has been modified to improve the smoothing of energy to align with the next Actual Meter Reading.	false
70	Probe reports tampering	Probe reports tampering.	true
71	Probe read error	Data collector unable to collect the metering data due to the meter probe being unable to extract the metering data.	false
72	Re-calculated based on Actual Metering Data	MDP received Actual Meter Readings and prior Substitutes have been amended.	false
73	Low consumption	Meter Reading failed Validation as being too low based on Historical Data and has been either left as an actual or replaced by a Substitute.	false
74	High consumption	Meter Reading failed Validation as being too high based on Historical Data and has been either left as an actual or replaced by a Substitute.	false
75	Customer read	Meter Reading provided to the MDP by the End User. (Only applicable in Jurisdictions where End User Meter Readings are allowed).	false
76	Communications fault	Meter reader attempted to read the meter but was unable due to not being able to remotely communicate with the meter.	false
77	Estimation Forecast	Optional reason code that can be applied to Estimations.	false
78	Null Data	For Interval Meters where no metering data was received and Substitutes created to cover this period.	false
79	Power Outage Alarm	For Interval Meters where a power outage has been detected by the meter.	false
80	Short Interval Alarm	For Interval Meters where the time in the meter is slow and has now been corrected, resulting in the interval metering data not being a full 15 or 30 minutes in length.	false
81	Long Interval Alarm	For Interval Meters where the time in the meter is fast and has now been corrected, resulting in the interval metering data exceeding a full 15 or 30 minutes in length.	false
82	CRC error	CRC error.	true
83	RAM checksum error	RAM checksum error.	true
84	ROM checksum error	ROM checksum error.	true
85	Data missing alarm	Data missing alarm.	true
86	Clock error alarm	Clock error alarm.	true
87	Reset occurred	Resetting of the meter due to re-programming, change of configuration or firmware upgrade etc.	false
88	Watchdog timeout alarm	Watchdog timeout alarm.	true
89	Time reset occurred	Where a time reset has occurred within the metering installation.	false
90	Test mode	Test mode.	true
91	Load control	Load control.	true
92	Added interval (data correction)	Added interval (data correction).	true
93	Replaced interval (data correction)	Replaced interval (data correction).	true
94	Estimated interval (data correction)	Estimated interval (data correction).	true
95	Pulse overflow alarm	Pulse overflow alarm.	true
96	Data out of limits	Data out of limits.	true
97	Excluded data	Excluded data.	true
98	Parity error	Parity error.	true
99	Energy type (register changed)	Energy type (register changed).	true
